a24_slug,a24_title,rank,rec_slug,rec_title,score
babygirl-2024,Babygirl,1,conclave,Conclave,0.528605
babygirl-2024,Babygirl,2,reprise,Reprise,0.521917
babygirl-2024,Babygirl,3,sharp-corner,Sharp Corner,0.521917
babygirl-2024,Babygirl,4,the-blair-witch-project,The Blair Witch Project,0.521917
babygirl-2024,Babygirl,5,the-brutalist,The Brutalist,0.49711
babygirl-2024,Babygirl,6,withnail-i,Withnail & I,0.49711
babygirl-2024,Babygirl,7,the-celebration,The Celebration,0.49711
babygirl-2024,Babygirl,8,sinister,Sinister,0.49711
babygirl-2024,Babygirl,9,secretary,Secretary,0.469725
babygirl-2024,Babygirl,10,angus-thongs-and-perfect-snogging,"Angus, Thongs and Perfect Snogging",0.469725
beau-is-afraid,Beau Is Afraid,1,jackie-brown,Jackie Brown,0.673633
beau-is-afraid,Beau Is Afraid,2,hoodwinked,Hoodwinked!,0.673633
beau-is-afraid,Beau Is Afraid,3,the-hateful-eight,The Hateful Eight,0.653497
beau-is-afraid,Beau Is Afraid,4,happiness,Happiness,0.653497
beau-is-afraid,Beau Is Afraid,5,mother-2017,mother!,0.653497
beau-is-afraid,Beau Is Afraid,6,once-upon-a-time-in-hollywood,Once Upon a Time... in Hollywood,0.61993
beau-is-afraid,Beau Is Afraid,7,boogie-nights,Boogie Nights,0.61993
beau-is-afraid,Beau Is Afraid,8,mystery-train,Mystery Train,0.505225
beau-is-afraid,Beau Is Afraid,9,white-noise-2022,White Noise,0.505225
beau-is-afraid,Beau Is Afraid,10,midsommar,Midsommar,0.477846
bodies-bodies-bodies,Bodies Bodies Bodies,1,jaws,Jaws,0.464835
bodies-bodies-bodies,Bodies Bodies Bodies,2,the-house-of-sand,The House of Sand,0.464835
bodies-bodies-bodies,Bodies Bodies Bodies,3,barbarian-2022,Barbarian,0.464835
bodies-bodies-bodies,Bodies Bodies Bodies,4,five-nights-at-freddys,Five Nights at Freddy's,0.457996
bodies-bodies-bodies,Bodies Bodies Bodies,5,smile-2022,Smile,0.447214
bodies-bodies-bodies,Bodies Bodies Bodies,6,entranced-earth,Entranced Earth,0.416667
bodies-bodies-bodies,Bodies Bodies Bodies,7,clueless,Clueless,0.416667
bodies-bodies-bodies,Bodies Bodies Bodies,8,monsters-inc,"Monsters, Inc.",0.380319
bodies-bodies-bodies,Bodies Bodies Bodies,9,joker-folie-a-deux,Joker: Folie à Deux,0.380319
bodies-bodies-bodies,Bodies Bodies Bodies,10,lisa-frankenstein,Lisa Frankenstein,0.380319
bring-her-back,Bring Her Back,1,pictures-of-the-old-world,Pictures of the Old World,0.673633
bring-her-back,Bring Her Back,2,lost-highway,Lost Highway,0.673633
bring-her-back,Bring Her Back,3,the-monkey-2025,The Monkey,0.673633
bring-her-back,Bring Her Back,4,vivarium,Vivarium,0.673633
bring-her-back,Bring Her Back,5,wild-strawberries,Wild Strawberries,0.653497
bring-her-back,Bring Her Back,6,interstellar,Interstellar,0.653497
bring-her-back,Bring Her Back,7,paris-texas,"Paris, Texas",0.61993
bring-her-back,Bring Her Back,8,the-conjuring-last-rites,The Conjuring: Last Rites,0.55136
bring-her-back,Bring Her Back,9,it-feeds,It Feeds,0.505225
bring-her-back,Bring Her Back,10,until-dawn-2025,Until Dawn,0.475271
civil-war-2024,Civil War,1,the-unbearable-weight-of-massive-talent,The Unbearable Weight of Massive Talent,0.738424
civil-war-2024,Civil War,2,paddington,Paddington,0.738424
civil-war-2024,Civil War,3,argylle,Argylle,0.563204
civil-war-2024,Civil War,4,baghead-2023,Baghead,0.556304
civil-war-2024,Civil War,5,scoop-2024,Scoop,0.556304
civil-war-2024,Civil War,6,abigail-2024,Abigail,0.547923
civil-war-2024,Civil War,7,monkey-man,Monkey Man,0.529154
civil-war-2024,Civil War,8,oppenheimer-2023,Oppenheimer,0.501244
civil-war-2024,Civil War,9,barbie,Barbie,0.476601
civil-war-2024,Civil War,10,the-whale-2022,The Whale,0.441566
heretic-2024,Heretic,1,legally-blonde,Legally Blonde,0.719559
heretic-2024,Heretic,2,13-going-on-30-3,13 Going on 30,0.719559
heretic-2024,Heretic,3,jennifers-body,Jennifer's Body,0.613738
heretic-2024,Heretic,4,the-conjuring,The Conjuring,0.542105
heretic-2024,Heretic,5,corpse-bride,Corpse Bride,0.523874
heretic-2024,Heretic,6,the-whale-2022,The Whale,0.32401
i-saw-the-tv-glow,I Saw the TV Glow,1,simon-killer,Simon Killer,0.542105
i-saw-the-tv-glow,I Saw the TV Glow,2,a-world-without-women,A World Without Women,0.542105
i-saw-the-tv-glow,I Saw the TV Glow,3,longlegs,Longlegs,0.501996
i-saw-the-tv-glow,I Saw the TV Glow,4,promises-2021-1,Promises,0.427618
i-saw-the-tv-glow,I Saw the TV Glow,5,bones-and-all,Bones and All,0.397796
i-saw-the-tv-glow,I Saw the TV Glow,6,love-lies-bleeding-2024,Love Lies Bleeding,0.383326
i-saw-the-tv-glow,I Saw the TV Glow,7,lady-bird,Lady Bird,0.372697
i-saw-the-tv-glow,I Saw the TV Glow,8,luca-2021,Luca,0.372697
i-saw-the-tv-glow,I Saw the TV Glow,9,hocus-pocus,Hocus Pocus,0.358569
i-saw-the-tv-glow,I Saw the TV Glow,10,honey-dont,Honey Don't!,0.358569
love-lies-bleeding-2024,Love Lies Bleeding,1,gia,Gia,0.681853
love-lies-bleeding-2024,Love Lies Bleeding,2,simon-killer,Simon Killer,0.681853
love-lies-bleeding-2024,Love Lies Bleeding,3,a-world-without-women,A World Without Women,0.681853
love-lies-bleeding-2024,Love Lies Bleeding,4,bound,Bound,0.641427
love-lies-bleeding-2024,Love Lies Bleeding,5,my-first-summer,My First Summer,0.641427
love-lies-bleeding-2024,Love Lies Bleeding,6,longlegs,Longlegs,0.641427
love-lies-bleeding-2024,Love Lies Bleeding,7,water-lilies,Water Lilies,0.567734
love-lies-bleeding-2024,Love Lies Bleeding,8,promises-2021-1,Promises,0.567734
love-lies-bleeding-2024,Love Lies Bleeding,9,bones-and-all,Bones and All,0.52814
love-lies-bleeding-2024,Love Lies Bleeding,10,but-im-a-cheerleader,But I'm a Cheerleader,0.4552
materialists,Materialists,1,nerve-2016,Nerve,0.802897
materialists,Materialists,2,ready-or-not-2019,Ready or Not,0.715542
materialists,Materialists,3,x-2022,X,0.403211
materialists,Materialists,4,corpse-bride,Corpse Bride,0.264472
materialists,Materialists,5,coraline,Coraline,0.261479
materialists,Materialists,6,maxxxine,MaXXXine,0.242124
maxxxine,MaXXXine,1,kpop-demon-hunters,KPop Demon Hunters,0.803646
maxxxine,MaXXXine,2,alex-strangelove,Alex Strangelove,0.748064
maxxxine,MaXXXine,3,fear-street-1994,Fear Street: 1994,0.73395
maxxxine,MaXXXine,4,se7en,Se7en,0.707112
maxxxine,MaXXXine,5,edward-scissorhands,Edward Scissorhands,0.700942
maxxxine,MaXXXine,6,the-naked-gun,The Naked Gun,0.695749
maxxxine,MaXXXine,7,x-2022,X,0.689549
maxxxine,MaXXXine,8,fear-street-1978,Fear Street: 1978,0.689062
maxxxine,MaXXXine,9,creep-2,Creep 2,0.675234
maxxxine,MaXXXine,10,fear-street-1666,Fear Street: 1666,0.662264
mid90s,mid90s,1,zoom,Zoom,0.556731
mid90s,mid90s,2,mickeys-house-of-villains,Mickey's House of Villains,0.556731
mid90s,mid90s,3,fury-2014,Fury,0.556731
mid90s,mid90s,4,ford-v-ferrari,Ford v Ferrari,0.556731
mid90s,mid90s,5,full-metal-jacket,Full Metal Jacket,0.556731
mid90s,mid90s,6,human-traffic,Human Traffic,0.556731
mid90s,mid90s,7,hawkeye-2021,Hawkeye,0.523723
mid90s,mid90s,8,jinxed-2013,Jinxed,0.523723
mid90s,mid90s,9,world-war-z,World War Z,0.523723
mid90s,mid90s,10,air-2023,Air,0.523723
moonlight-2016,Moonlight,1,pariah,Pariah,0.681853
moonlight-2016,Moonlight,2,superbad,Superbad,0.681853
moonlight-2016,Moonlight,3,10-cloverfield-lane,10 Cloverfield Lane,0.681853
moonlight-2016,Moonlight,4,get-out-2017,Get Out,0.681853
moonlight-2016,Moonlight,5,cloverfield,Cloverfield,0.641427
moonlight-2016,Moonlight,6,cheat-day,Cheat Day,0.641427
moonlight-2016,Moonlight,7,all-over-me,All Over Me,0.567734
moonlight-2016,Moonlight,8,the-transfiguration,The Transfiguration,0.567734
moonlight-2016,Moonlight,9,terrifier-2016,Terrifier,0.52814
moonlight-2016,Moonlight,10,mean-girls,Mean Girls,0.453557
past-lives,Past Lives,1,echo-valley,Echo Valley,0.431242
past-lives,Past Lives,2,the-equalizer,The Equalizer,0.431242
past-lives,Past Lives,3,the-hangover-part-ii,The Hangover Part II,0.431242
past-lives,Past Lives,4,my-neighbor-totoro,My Neighbor Totoro,0.431242
past-lives,Past Lives,5,the-shawshank-redemption,The Shawshank Redemption,0.431242
past-lives,Past Lives,6,we-live-in-time,We Live in Time,0.431242
past-lives,Past Lives,7,harry-potter-and-the-prisoner-of-azkaban,Harry Potter and the Prisoner of Azkaban,0.405674
past-lives,Past Lives,8,arrival-2016,Arrival,0.405674
past-lives,Past Lives,9,mysterious-skin,Mysterious Skin,0.405674
past-lives,Past Lives,10,chevalier-2022,Chevalier,0.405674
pearl-2022,Pearl,1,carrie-2002,Carrie,0.683029
pearl-2022,Pearl,2,i-still-know-what-you-did-last-summer,I Still Know What You Did Last Summer,0.675035
pearl-2022,Pearl,3,carrie-2013,Carrie,0.674701
pearl-2022,Pearl,4,se7en,Se7en,0.639761
pearl-2022,Pearl,5,the-naked-gun,The Naked Gun,0.617353
pearl-2022,Pearl,6,alex-strangelove,Alex Strangelove,0.61205
pearl-2022,Pearl,7,edward-scissorhands,Edward Scissorhands,0.611821
pearl-2022,Pearl,8,x-2022,X,0.563994
pearl-2022,Pearl,9,nightcrawler,Nightcrawler,0.563388
pearl-2022,Pearl,10,gomburza,GomBurZa,0.538662
the-iron-claw-2023,The Iron Claw,1,the-nice-guys,The Nice Guys,0.482143
the-iron-claw-2023,The Iron Claw,2,jojo-rabbit,Jojo Rabbit,0.482143
the-iron-claw-2023,The Iron Claw,3,nobody-2021,Nobody,0.482143
the-iron-claw-2023,The Iron Claw,4,raiders-of-the-lost-ark,Raiders of the Lost Ark,0.453557
the-iron-claw-2023,The Iron Claw,5,1917,1917,0.453557
the-iron-claw-2023,The Iron Claw,6,dont-worry-darling,Don't Worry Darling,0.453557
the-iron-claw-2023,The Iron Claw,7,kill-bill-vol-2,Kill Bill: Vol. 2,0.453557
the-iron-claw-2023,The Iron Claw,8,hacksaw-ridge,Hacksaw Ridge,0.453557
the-iron-claw-2023,The Iron Claw,9,love-other-drugs,Love & Other Drugs,0.453557
the-iron-claw-2023,The Iron Claw,10,crazy-stupid-love,"Crazy, Stupid, Love.",0.453557
the-lighthouse-2019,The Lighthouse,1,frieren-beyond-journeys-end,Frieren: Beyond Journey's End,0.681853
the-lighthouse-2019,The Lighthouse,2,joker-2019,Joker,0.681853
the-lighthouse-2019,The Lighthouse,3,hereditary,Hereditary,0.681853
the-lighthouse-2019,The Lighthouse,4,cowboy-bebop,Cowboy Bebop,0.641427
the-lighthouse-2019,The Lighthouse,5,the-strange-thing-about-the-johnsons,The Strange Thing About the Johnsons,0.641427
the-lighthouse-2019,The Lighthouse,6,fullmetal-alchemist-brotherhood,Fullmetal Alchemist: Brotherhood,0.567734
the-lighthouse-2019,The Lighthouse,7,28-days-later,28 Days Later,0.567734
the-lighthouse-2019,The Lighthouse,8,the-northman,The Northman,0.567734
the-lighthouse-2019,The Lighthouse,9,nosferatu-2024,Nosferatu,0.567734
the-lighthouse-2019,The Lighthouse,10,the-intouchables,The Intouchables,0.482143
the-whale-2022,The Whale,1,the-black-phone,The Black Phone,0.600019
the-whale-2022,The Whale,2,birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),0.600019
the-whale-2022,The Whale,3,the-suicide-squad,The Suicide Squad,0.558801
the-whale-2022,The Whale,4,solo-a-star-wars-story,Solo: A Star Wars Story,0.482768
the-whale-2022,The Whale,5,suicide-squad-2016,Suicide Squad,0.482768
the-whale-2022,The Whale,6,civil-war-2024,Civil War,0.441566
the-whale-2022,The Whale,7,the-unbearable-weight-of-massive-talent,The Unbearable Weight of Massive Talent,0.372012
the-whale-2022,The Whale,8,paddington,Paddington,0.372012
the-whale-2022,The Whale,9,coherence,Coherence,0.32401
the-whale-2022,The Whale,10,rocketman-2019,Rocketman,0.32401
the-zone-of-interest,The Zone of Interest,1,paths-of-glory,Paths of Glory,0.556731
the-zone-of-interest,The Zone of Interest,2,doodlebug,Doodlebug,0.556731
the-zone-of-interest,The Zone of Interest,3,hercules-1997,Hercules,0.556731
the-zone-of-interest,The Zone of Interest,4,the-necklace,The Necklace,0.556731
the-zone-of-interest,The Zone of Interest,5,the-lion-king,The Lion King,0.556731
the-zone-of-interest,The Zone of Interest,6,wonka,Wonka,0.556731
the-zone-of-interest,The Zone of Interest,7,the-apartment,The Apartment,0.523723
the-zone-of-interest,The Zone of Interest,8,emilia-perez,Emilia Pérez,0.523723
the-zone-of-interest,The Zone of Interest,9,aladdin,Aladdin,0.523723
the-zone-of-interest,The Zone of Interest,10,the-simpsons-movie,The Simpsons Movie,0.523723
uncut-gems,Uncut Gems,1,spider-man,Spider-Man,0.661831
uncut-gems,Uncut Gems,2,jurassic-park,Jurassic Park,0.462317
uncut-gems,Uncut Gems,3,toy-story,Toy Story,0.432306
uncut-gems,Uncut Gems,4,the-incredibles,The Incredibles,0.432306
uncut-gems,Uncut Gems,5,thor-ragnarok,Thor: Ragnarok,0.432306
uncut-gems,Uncut Gems,6,killers-of-the-flower-moon,Killers of the Flower Moon,0.408491
uncut-gems,Uncut Gems,7,the-empire-strikes-back,The Empire Strikes Back,0.4
uncut-gems,Uncut Gems,8,puss-in-boots-the-last-wish,Puss in Boots: The Last Wish,0.4
uncut-gems,Uncut Gems,9,harry-potter-and-the-goblet-of-fire,Harry Potter and the Goblet of Fire,0.4
uncut-gems,Uncut Gems,10,schindlers-list,Schindler's List,0.387585
x-2022,X,1,creep-2,Creep 2,0.747067
x-2022,X,2,creep-2014,Creep,0.704314
x-2022,X,3,maxxxine,MaXXXine,0.689549
x-2022,X,4,carrie-2013,Carrie,0.683989
x-2022,X,5,fear-street-1994,Fear Street: 1994,0.683797
x-2022,X,6,alex-strangelove,Alex Strangelove,0.679576
x-2022,X,7,nightcrawler,Nightcrawler,0.678342
x-2022,X,8,choose-or-die,Choose or Die,0.677541
x-2022,X,9,edward-scissorhands,Edward Scissorhands,0.676527
x-2022,X,10,se7en,Se7en,0.672222
