neon_slug,neon_title,rank,rec_slug,rec_title,score
ammonite,Ammonite,1,killing-ground,Killing Ground (2016),17.44
ammonite,Ammonite,2,les-hautes-solitudes,Les Hautes solitudes (1974),17.44
ammonite,Ammonite,3,the-edge-of-seventeen,The Edge of Seventeen (2016),17.44
ammonite,Ammonite,4,hotel-mumbai,Hotel Mumbai (2018),17.44
ammonite,Ammonite,5,another-earth,Another Earth (2011),17.44
ammonite,Ammonite,6,the-danish-girl,The Danish Girl (2015),17.44
ammonite,Ammonite,7,dou-kyu-sei-classmates,Dou kyu sei – Classmates (2016),17.44
ammonite,Ammonite,8,princess-cyd,Princess Cyd (2017),17.44
ammonite,Ammonite,9,jane-eyre-2011,Jane Eyre (2011),17.44
ammonite,Ammonite,10,the-reader,The Reader (2008),17.44
anora,Anora (2024),1,the-intouchables,The Intouchables (2011),39.636364
anora,Anora (2024),2,slumdog-millionaire,Slumdog Millionaire (2008),39.636364
anora,Anora (2024),3,kinds-of-kindness,Kinds of Kindness (2024),19.818182
anora,Anora (2024),4,snowpiercer,Snowpiercer (2013),19.818182
anora,Anora (2024),5,kneecap,Kneecap (2024),15.854545
anora,Anora (2024),6,mickey-17,Mickey 17 (2025),15.414141
anora,Anora (2024),7,8-mile,8 Mile (2002),13.212121
anora,Anora (2024),8,bratz,Bratz (2007),13.212121
anora,Anora (2024),9,persepolis,Persepolis (2007),13.212121
anora,Anora (2024),10,jamon-jamon,Jamon Jamon (1992),13.212121
beach-rats,Beach Rats,1,blindspotting,Blindspotting (2018),17.44
beach-rats,Beach Rats,2,baywatch,Baywatch (2017),17.44
beach-rats,Beach Rats,3,logan-lucky,Logan Lucky (2017),17.44
beach-rats,Beach Rats,4,20th-century-women,20th Century Women (2016),17.44
beach-rats,Beach Rats,5,columbus-2017,Columbus (2017),17.44
beach-rats,Beach Rats,6,free-fall-2013,Free Fall (2013),17.44
beach-rats,Beach Rats,7,boys-2014,Boys (2014),17.44
beach-rats,Beach Rats,8,king-cobra-2016,King Cobra (2016),17.44
beach-rats,Beach Rats,9,handsome-devil,Handsome Devil (2016),17.44
beach-rats,Beach Rats,10,twinless,Twinless (2025),17.44
how-to-blow-up-a-pipeline,How to Blow Up a Pipeline,1,the-threesome,The Threesome (2025),17.44
how-to-blow-up-a-pipeline,How to Blow Up a Pipeline,2,insidious-chapter-2,Insidious: Chapter 2 (2013),17.44
how-to-blow-up-a-pipeline,How to Blow Up a Pipeline,3,bite-2015,Bite (2015),17.44
how-to-blow-up-a-pipeline,How to Blow Up a Pipeline,4,high-rise-2015,High-Rise (2015),17.44
how-to-blow-up-a-pipeline,How to Blow Up a Pipeline,5,irreversible,Irreversible (2002),17.44
how-to-blow-up-a-pipeline,How to Blow Up a Pipeline,6,ida,Ida (2013),17.44
how-to-blow-up-a-pipeline,How to Blow Up a Pipeline,7,capote,Capote (2005),17.44
how-to-blow-up-a-pipeline,How to Blow Up a Pipeline,8,a-most-wanted-man,A Most Wanted Man (2014),17.44
how-to-blow-up-a-pipeline,How to Blow Up a Pipeline,9,the-day-after-tomorrow,The Day After Tomorrow (2004),17.44
how-to-blow-up-a-pipeline,How to Blow Up a Pipeline,10,the-order-2024,The Order (2024),17.44
i-tonya,"I, Tonya (2017)",1,sense-and-sensibility,Sense and Sensibility (1995),45.103448
i-tonya,"I, Tonya (2017)",2,the-umbrellas-of-cherbourg,The Umbrellas of Cherbourg (1964),45.103448
i-tonya,"I, Tonya (2017)",3,john-tucker-must-die,John Tucker Must Die (2006),27.062069
i-tonya,"I, Tonya (2017)",4,summer-of-85,Summer of 85 (2020),15.034483
i-tonya,"I, Tonya (2017)",5,the-cabin-in-the-woods,The Cabin in the Woods (2011),15.034483
i-tonya,"I, Tonya (2017)",6,tangled-2010,Tangled (2010),15.034483
i-tonya,"I, Tonya (2017)",7,leon-the-professional,Léon: The Professional (1994),15.034483
i-tonya,"I, Tonya (2017)",8,the-pianist,The Pianist (2002),15.034483
i-tonya,"I, Tonya (2017)",9,wonder-2017,Wonder (2017),15.034483
i-tonya,"I, Tonya (2017)",10,manchester-by-the-sea,Manchester by the Sea (2016),15.034483
ingrid-goes-west,Ingrid Goes West,1,in-secret,In Secret (2013),17.44
